Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jameel Alausa,24,1,7.8,0.9,1.7,0.512,0.9,1.6,0.553,0,0.1,0,0.4,0.8,0.5,0.3,1.3,1.7,0.3,0,0.1,0.5,1.1,2.2
Paul Atkinson,30,29,31.8,6.9,10.9,0.63,6.7,10.5,0.643,0.1,0.4,0.308,3.7,5.6,0.671,2.3,5.1,7.3,1.5,1.2,0.8,1.9,1.9,17.6
Jordan Bruner,28,28,32.4,4,9,0.443,2.9,5.5,0.519,1.1,3.5,0.323,1.8,2.3,0.766,1.8,7.4,9.2,3.7,1,1.7,2.5,1.8,10.9
Matthue Cotton,30,1,19.4,2.7,6.7,0.408,1.2,2.4,0.507,1.5,4.3,0.352,0.6,1.1,0.594,0.4,2.2,2.6,0.9,0.6,0.2,0.7,1.2,7.6
Eze Dike,20,0,6.6,0.7,1.9,0.378,0.6,1.4,0.444,0.1,0.5,0.2,0.6,1,0.632,0.2,0.7,0.9,0.8,0.2,0.1,0.9,1,2.1
Michael Feinberg,11,0,4.2,0.7,1.1,0.667,0.5,0.7,0.75,0.2,0.4,0.5,0.6,0.9,0.7,0.5,0.9,1.4,0.5,0,0,0.4,0.6,2.3
Jalen Gabbidon,30,30,24.2,1.9,4.7,0.414,1.2,2.6,0.468,0.7,2.1,0.349,1.3,1.8,0.741,0.8,2.6,3.4,1.3,1.3,0.3,1.2,2.7,5.9
Ed Jarvis,10,0,4.3,0.7,1.5,0.467,0.7,1.4,0.5,0,0.1,0,0.7,1.3,0.538,0.8,1,1.8,0.3,0.1,0,0.2,0.7,2.1
Isaiah Kelly,16,0,4.8,0.6,1.1,0.529,0.6,1,0.563,0,0.1,0,0.4,0.9,0.467,0.3,0.3,0.6,0.1,0.1,0.1,0.4,0.4,1.6
Jake Lanford,9,0,4.4,0.4,0.7,0.667,0.4,0.7,0.667,0,0,0,0.7,0.9,0.75,0.3,0.8,1.1,0.3,0.1,0,0.3,0.4,1.6
August Mahoney,29,0,10.8,1.3,2.4,0.536,0.7,1,0.655,0.6,1.4,0.45,0.4,0.5,0.867,0.2,1.1,1.4,0.8,0.2,0.1,0.5,1.3,3.6
Eric Monroe,30,30,29.6,2.3,5.2,0.439,0.9,2.1,0.438,1.3,3,0.44,1.3,1.5,0.886,0.3,3,3.3,4.3,0.7,0.3,2.1,2,7.2
Azar Swain,29,29,33.5,5.4,13.7,0.393,2.2,5.4,0.401,3.2,8.3,0.388,2.1,2.5,0.822,0.6,3.5,4,1.7,0.7,0,1.8,0.9,16
Austin Williams,18,1,4.9,0.4,1.1,0.4,0.4,0.8,0.571,0,0.3,0,0.7,0.8,0.867,0.2,0.4,0.6,0.1,0,0,0.6,0.6,1.6
Wyatt Yess,22,1,11.2,0.9,1.6,0.528,0.5,1,0.571,0.3,0.7,0.467,0.5,1,0.571,0.7,2.2,2.9,0.6,0.5,0.1,0.4,1.1,2.6
Bryce Aiken,7,6,25.6,5,12.1,0.412,3.1,7,0.449,1.9,5.1,0.361,4.9,5.6,0.872,0.3,1.6,1.9,1.7,1.3,0,3.7,2.3,16.7
Robert Baker,29,26,22,2.6,5.5,0.472,1.7,3,0.57,0.9,2.5,0.356,0.9,1.1,0.818,0.9,4.4,5.3,0.8,0.9,1.4,1.3,1.6,7
Justin Bassey,29,29,27.9,2.2,5.4,0.408,1.6,3,0.517,0.7,2.4,0.271,1.4,2,0.707,1.2,4.2,5.5,1.7,0.9,0.1,1.8,1.8,6.5
Ciaran Brayboy,6,0,2.8,0.2,0.3,0.5,0.2,0.3,0.5,0,0,0,0.5,0.7,0.75,0,0.7,0.7,0.2,0,0.2,0.7,0.7,0.8
Kale Catchings,4,0,5.8,0.5,1.8,0.286,0.3,0.3,1,0.3,1.5,0.167,0.3,1,0.25,0,0.5,0.5,0.5,0.3,0,0,1.3,1.5
Danilo Djuricic,29,2,18.3,2.1,4.7,0.459,1.3,2.3,0.559,0.8,2.3,0.358,1,1.2,0.857,1.4,2.9,4.3,0.7,0.2,0.4,0.5,1.5,6.1
Reed Farley,2,0,2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Forbes,28,2,10.1,1.3,2.1,0.61,1.3,2.1,0.61,0,0,0,1,1.7,0.583,1.3,0.8,2.1,0.4,0.2,0.6,0.3,1.4,3.6
Spencer Freedman,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Haskett,29,6,17.5,2.2,5.2,0.42,1,2.2,0.462,1.1,2.9,0.388,0.8,1,0.759,0.4,1,1.4,0.9,0.9,0.1,1.1,1.8,6.2
Christian Juzang,25,18,24.8,2.2,6.4,0.348,1.2,2.6,0.446,1.1,3.8,0.281,1.2,1.5,0.784,0.4,2.2,2.5,2.8,0.6,0.1,1.3,1.5,6.7
Noah Kirkwood,27,25,28.9,4.4,9.8,0.451,3,5.9,0.509,1.4,3.9,0.362,1.9,3.1,0.614,0.5,3.3,3.7,2.3,1,0.3,2.7,2.1,12.1
Chris Ledlum,29,1,16.1,2.7,6.3,0.421,2.1,4.4,0.484,0.5,1.9,0.273,1.4,2.3,0.618,1.2,2.7,3.8,0.7,0.3,0.6,1.6,1.5,7.3
Chris Lewis,28,28,26,4.8,8,0.596,4.8,8,0.596,0,0,0,1.9,2.8,0.667,2.1,3.9,5.9,0.8,1,1.6,1.9,2.7,11.4
Tommy O'Neil,7,0,3.4,0.3,0.3,1,0.1,0.1,1,0.1,0.1,1,0,0,0,0,0.9,0.9,0.1,0.3,0,0,0.4,0.7
Luka Sakota,20,1,7,0.7,1.9,0.378,0.3,0.7,0.429,0.4,1.2,0.348,0.3,0.4,0.75,0.1,0.6,0.6,0.5,0.1,0.1,0.6,0.9,2.1
Idan Tretout,16,0,7.4,1.4,3.1,0.44,1.1,2.1,0.529,0.3,1,0.25,0.8,1.1,0.765,0.2,0.5,0.7,0.8,0.3,0.1,0.3,0.7,3.8
Henry Welsh,7,1,4.3,0.3,0.7,0.4,0.3,0.6,0.5,0,0.1,0,0,0,0,0.3,0.4,0.7,0.1,0,0.3,0,0.4,0.6
AJ Brodeur,27,27,34.6,6.9,13.7,0.504,6.3,11.4,0.55,0.6,2.3,0.274,2.9,4,0.716,2.2,6.7,8.9,5.2,1.1,1.8,2.8,2.2,17.3
Devon Goodman,27,27,36.3,5.3,11.6,0.452,3.9,6.8,0.574,1.4,4.9,0.282,1.7,3,0.588,0.4,3,3.4,3.2,1.6,0.3,2.3,2.3,13.6
Jordan Dingle,25,20,31.3,4.9,11.8,0.416,2.6,5.1,0.516,2.3,6.7,0.339,1.4,2.4,0.583,0.6,2.8,3.4,2.3,0.8,0,2.6,1.9,13.5
Ryan Betley,22,22,30.5,4.1,9.6,0.429,1.9,3.5,0.553,2.2,6.2,0.36,1.1,1.5,0.781,0.4,5.4,5.8,1.3,1,0.3,1.2,1.6,11.6
Max Martz,26,14,23.9,2.9,6.1,0.475,1.3,2.4,0.54,1.6,3.7,0.432,0.5,0.7,0.824,1.4,2.3,3.7,0.6,0.2,0.2,0.7,1.5,7.9
Eddie Scott,25,11,17.6,1.7,3.3,0.512,1.1,1.4,0.824,0.6,1.9,0.292,0.8,1.2,0.7,0.6,2.6,3.2,0.9,0.4,0,0.8,1.7,4.8
Bryce Washington,9,1,11.3,1.7,4.3,0.385,1,1.7,0.6,0.7,2.7,0.25,0.1,0.1,1,0.6,1.4,2,0.3,0.4,0,1.1,0.9,4.1
Lucas Monroe,27,4,14.9,1.1,2.3,0.476,0.9,1.7,0.511,0.2,0.6,0.375,0.9,1.6,0.595,0.7,2.6,3.2,0.9,0.6,0.4,1,1.7,3.4
Ray Jerome,19,5,13.5,0.8,2.2,0.357,0.4,0.8,0.467,0.4,1.4,0.296,0.5,0.6,0.75,0.2,1.1,1.3,0.7,0.5,0.1,0.6,1,2.5
Jarrod Simmons,26,4,6.6,0.5,1.3,0.394,0.4,0.8,0.5,0.1,0.5,0.231,0.5,0.6,0.8,0.5,0.8,1.3,0.3,0,0.2,0.6,1.1,1.6
Max Lorca-Lloyd,9,0,3.4,0.7,1.2,0.545,0.7,1.2,0.545,0,0,0,0,0,0,0.4,1.1,1.6,0.4,0,0.3,0.4,0.4,1.3
Griffin Ryan,5,0,3.4,0.4,0.8,0.5,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.6,0.333,0.2,0,0.2,0.2,0,0,0.2,0.4,1.2
Alex Imegwu,5,0,2,0.2,0.4,0.5,0,0,0,0.2,0.4,0.5,0.2,0.4,0.5,0,0.2,0.2,0.2,0,0,0,0,0.8
Mark Jackson,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0.5,0
Jaelin Llewellyn,27,27,33.4,5.2,13.3,0.391,3.4,7.5,0.455,1.8,5.8,0.308,3.1,4,0.78,0.8,3.3,4.1,2.3,1,0.3,1.8,1.4,15.3
Richmond Aririguzoh,27,27,28.8,4.7,7.6,0.617,4.7,7.6,0.62,0,0,0,2.6,4,0.654,2.9,4.6,7.4,2.2,0.4,0.6,3.1,2.7,12
Ryan Schwieger,22,18,26.4,3.9,8.5,0.457,2.6,5,0.514,1.3,3.4,0.373,1.7,1.9,0.881,0.7,2.3,3,2.6,0.7,0.1,2.4,2,10.7
Drew Friberg,27,13,25.9,2.8,6.6,0.424,0.9,1.7,0.511,1.9,4.9,0.394,0.8,1,0.815,0.6,2.9,3.6,1.1,1.2,0.1,0.5,1.6,8.3
Ethan Wright,26,17,24.3,2.5,6.1,0.418,1.1,2.2,0.518,1.4,3.9,0.363,0.7,0.8,0.85,0.5,3.4,3.8,1.1,0.7,0.2,0.9,2,7.2
Jerome Desrosiers,27,1,12.4,1.8,3.7,0.485,0.9,1.3,0.676,1,2.5,0.388,0.5,0.6,0.765,0.4,2.1,2.4,0.6,0.3,0.1,0.3,1,5.1
Ryan Langborg,20,9,16.2,1.6,3.9,0.416,0.6,0.9,0.611,1.1,3,0.356,0.2,0.2,1,0.3,1.6,1.8,0.6,0.4,0.3,0.6,1.1,4.4
Tosan Evbuomwan,26,19,14.3,1.6,3,0.526,1.4,2.4,0.587,0.2,0.6,0.267,0.6,1.2,0.516,0.3,1.6,1.8,0.9,0.5,0.3,1,1.3,3.9
Jose Morales,27,1,14.9,1.3,2.6,0.479,0.7,1.7,0.444,0.5,1,0.538,0.8,1,0.808,0.1,0.8,0.9,1.7,1,0.1,0.9,2,3.8
Keeshawn Kellman,10,0,4.7,1.5,2.2,0.682,1.5,2.2,0.682,0,0,0,0.4,0.8,0.5,0.7,0.5,1.2,0.1,0,0.3,0.7,0.2,3.4
Colby Kyle,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Max Johns,17,3,9,0.6,1.6,0.37,0.5,1.1,0.474,0.1,0.5,0.125,0.4,0.5,0.75,0.2,0.9,1.1,0.7,0.4,0.2,0.5,0.8,1.6
Konrad Kiszka,13,0,3.9,0.5,1.1,0.429,0.4,0.5,0.714,0.1,0.5,0.143,0.5,0.6,0.75,0.1,0.5,0.5,0.2,0.2,0,0.2,0.2,1.5
Elijah Barnes,17,0,4.9,0.5,0.8,0.643,0.5,0.6,0.9,0,0.2,0,0.4,0.5,0.667,0.2,0.5,0.8,0.2,0.2,0,0.4,0.8,1.4
Jacob O'Connell,11,0,2.9,0.3,0.6,0.429,0.2,0.4,0.5,0.1,0.3,0.333,0,0,0,0.1,0.7,0.8,0.4,0,0.1,0.4,0.2,0.6
Charlie Bagin,11,0,3.3,0.2,0.4,0.5,0,0,,0.2,0.4,0.5,0,0.1,0,0.2,0.2,0.4,0.3,0,0,0.5,0.2,0.5
Brandon Anderson,25,25,35.1,5.6,15.4,0.364,3.7,9,0.409,1.9,6.4,0.3,4.6,5.6,0.821,0.9,2.9,3.8,3,1.6,0.2,3.6,2,17.7
Tamenang Choh,27,27,31.5,4.6,11.6,0.392,3.9,9.2,0.418,0.7,2.4,0.292,3.4,5.1,0.655,2.2,6,8.1,3.3,0.7,0.6,3.7,2,13.2
Zach Hunsaker,27,27,32.8,4,10.7,0.378,1.9,4.1,0.473,2.1,6.6,0.32,2.7,3.1,0.857,0.4,3,3.4,1.3,1.5,0.1,1.6,2.4,12.9
Jaylan Gainey,25,13,19.7,2.5,3.7,0.685,2.5,3.7,0.685,0,0,0,0.9,1.3,0.688,1.6,3.4,5.1,0.4,0.4,2.2,0.9,1.9,5.9
Joshua Howard,25,18,18,2,4.8,0.405,1.3,2.5,0.524,0.6,2.3,0.276,0.6,1,0.64,1.3,2.2,3.5,0.5,0.6,0.4,0.8,1.6,5.2
Dan Friday,22,1,16.5,1.6,4.5,0.354,1.3,3.8,0.349,0.3,0.7,0.375,1,1.6,0.629,0.3,1.4,1.7,1,0.3,0.5,1.6,1.7,4.5
Perry Cowan,27,8,18.6,1.3,4.2,0.31,0.4,1.4,0.316,0.9,2.8,0.307,0,0,0,0.3,0.7,1,0.4,0.4,0.1,0.5,1.5,3.4
David Mitchell,27,2,20,1.1,2.3,0.492,0.9,1.6,0.535,0.3,0.7,0.4,0.8,1.1,0.724,1.8,3.4,5.2,0.7,0.7,0.4,0.7,2.9,3.4
Matt DeWolf,23,14,11.9,1.3,2.7,0.5,1.3,2.6,0.508,0,0.1,0.333,0.4,0.7,0.625,1.1,1.7,2.8,1.1,0.5,0.2,1.2,1,3.2
Jake Shaper,8,0,2.9,0.4,1,0.375,0.1,0.3,0.5,0.3,0.8,0.333,0,0.1,0,0.3,0.8,1,0,0.1,0.1,0.4,0.4,1
Carsten Kogelnik,7,0,3.6,0.3,0.7,0.4,0,0.1,0,0.3,0.6,0.5,0,0,0,0.1,0.6,0.7,0,0,0,0.3,0,0.9
Davis Franks,11,0,3.5,0.3,0.9,0.3,0.3,0.9,0.3,0,0,0,0.2,0.5,0.4,0.8,0.7,1.5,0.4,0.2,0.1,0.5,0.3,0.7
EJ Perry,2,0,4.5,0,1,0,0,0,0,0,1,0,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0,0.5,1,0.5
Josh Watts,13,0,5.3,0.2,1.1,0.143,0.1,0.1,1,0.1,1,0.077,0.2,0.3,0.5,0.2,0.2,0.4,0.2,0.2,0,0.2,0.5,0.5
Chris Knight,29,28,25.2,6.4,11.6,0.555,6.4,11,0.578,0,0.5,0.067,2,3.2,0.606,1.8,4.6,6.3,2,0.9,1.2,2.7,2.2,14.8
Aaryn Rai,29,29,28.1,4.2,8.3,0.506,3.6,6.3,0.56,0.7,2,0.333,2.1,3,0.713,1.9,4.5,6.4,1.7,0.8,0.5,2.4,2.5,11.2
James Foye,29,29,30.3,3.3,7.8,0.42,1.2,2.9,0.412,2.1,4.9,0.426,1,1.4,0.75,0.1,3.1,3.2,2.1,0.6,0.2,1.1,2.1,9.7
Taurus Samuels,29,28,29.1,2.9,7.7,0.379,1.8,3.6,0.495,1.1,4.1,0.277,1.4,2,0.737,0.4,2.3,2.7,2.1,0.7,0.1,1.3,2.2,8.4
Ian Sistare,29,27,25.8,2.2,6.3,0.346,1,2.2,0.46,1.2,4.1,0.286,1.5,1.9,0.786,0.3,4.6,4.9,1.2,0.3,0.1,1,1.5,7
Trevon Ary-Turner,26,3,19.6,2,4.8,0.413,0.9,1.9,0.48,1.1,2.9,0.368,0.7,1.1,0.621,0.1,1.2,1.3,1,0.2,0.1,1.3,1.9,5.8
Ian Carter,29,1,12.1,1.1,2.8,0.383,1.1,2.4,0.437,0,0.3,0,0.7,1,0.7,0.5,2,2.5,0.7,0.2,0.3,0.8,1.3,2.9
Wes Slajchert,29,0,17.4,0.8,2.3,0.358,0.3,0.7,0.45,0.5,1.6,0.319,0.3,0.5,0.533,0.1,1.9,1.9,1.1,0.5,0,0.7,1.4,2.4
Garrison Wade,27,0,9.1,0.8,2.1,0.386,0.6,0.8,0.682,0.3,1.3,0.2,0.1,0.2,0.5,0.2,1.3,1.4,0.4,0.3,0,0.4,0.8,2
Demilade Adelekun,9,0,2.6,0.7,1.2,0.545,0.7,1.2,0.545,0,0,0,0,0.1,0,0.3,0.4,0.8,0.2,0,0.2,0.1,0.6,1.3
Jackson Blaufeld,10,0,2.3,0.4,0.8,0.5,0.2,0.3,0.667,0.2,0.5,0.4,0.2,0.4,0.5,0,0.3,0.3,0.1,0,0,0.1,0,1.2
Isaac Letoa,2,0,6.5,0.5,1.5,0.333,0.5,1.5,0.333,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,1
Jayden Reaves,7,0,1.4,0.3,0.4,0.667,0.1,0.1,1,0.1,0.3,0.5,0,0,0,0,0.1,0.1,0.4,0.1,0,0,0,0.7
Nathaniel Ogbu,20,0,2.9,0.2,0.5,0.3,0.1,0.4,0.25,0.1,0.1,0.5,0.3,0.5,0.556,0.2,0.5,0.7,0.3,0.1,0,0.1,0.7,0.6
Paul Hudson,22,0,4.1,0.2,0.4,0.5,0.2,0.3,0.571,0,0,0,0,0.2,0.2,0.2,0.5,0.7,0.1,0.1,0.1,0.2,0.2,0.4
Ben Swett,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
Jimmy Boeheim,21,19,30.6,6.1,14.2,0.43,4.6,9.2,0.503,1.5,5,0.295,3,4.2,0.716,1.2,4.4,5.6,1.9,0.7,0.3,1.9,1.4,16.7
Terrance McBride,27,27,32.9,4.7,10,0.476,3.7,6.7,0.556,1,3.3,0.315,2.1,2.8,0.773,0.9,2.9,3.8,3.2,1,0.1,1.8,1.2,12.7
Josh Warren,27,27,28,3,6.1,0.5,2.4,4.2,0.584,0.6,1.9,0.314,1.8,2.5,0.706,1,3.7,4.7,3.2,0.6,0.8,2.5,2.8,8.4
Jordan Jones,14,6,20.1,2.5,7.1,0.354,1.1,2.1,0.517,1.4,5,0.286,0.9,1,0.857,0.9,2.3,3.1,0.6,0.6,0.1,0.7,2.2,7.3
Bryan Knapp,27,27,26.8,2.8,6.4,0.431,1.9,4.4,0.432,0.9,2.1,0.429,0.7,0.9,0.783,0.4,1.9,2.3,1.4,0.7,0.1,0.9,1.9,7.1
Dean Noll,27,1,17.4,2.2,5.4,0.407,1.4,3,0.469,0.8,2.4,0.328,1.3,1.6,0.81,0.6,1.8,2.4,1.3,1.1,0.3,1.2,2,6.4
Greg Dolan,22,0,15.5,1.7,3.5,0.474,1,2,0.489,0.7,1.5,0.455,0.7,1.4,0.533,0.2,1.3,1.5,0.9,1,0.2,0.6,1,4.8
Kobe Dickson,24,5,15.7,1.9,3.4,0.556,1.7,2.9,0.586,0.2,0.5,0.364,0.4,1.1,0.37,1.3,1.8,3.1,0.5,0.4,0.5,0.8,2.2,4.3
Thurston McCarty,21,7,12.7,1.1,3.2,0.358,0.6,1.2,0.48,0.6,2,0.286,0.5,0.7,0.733,0.6,1.1,1.7,0.3,0.1,0.4,0.2,1.6,3.4
Riley Voss,26,15,15.5,1.3,3.5,0.38,0.6,1.5,0.421,0.7,2.1,0.352,0,0.1,0,0.3,2,2.3,1.5,0.8,0.2,0.7,1.7,3.4
Marcus Filien,20,0,11.7,0.7,1.7,0.382,0.5,0.9,0.529,0.2,0.9,0.235,0.5,0.6,0.75,0.6,2.1,2.7,0.2,0.6,0.2,0.5,1.1,2
Noah Gear,9,1,3.1,0.8,1,0.778,0.8,0.9,0.875,0,0.1,0,0.3,0.4,0.75,0.1,0.3,0.4,0.1,0,0.1,0.1,0.4,1.9
Chaz Mack,7,0,3,0.1,0.7,0.2,0.1,0.4,0.333,0,0.3,0,0.3,0.9,0.333,0,0.3,0.3,0.1,0,0,0.3,0.6,0.6
Max Samberg,11,0,2.9,0,0.1,0,0,0.1,0,0,0,0,0.2,0.2,1,0.2,0.4,0.5,0.2,0,0,0.3,0.4,0.2
Matt Harshany,7,0,1.4,0,0.4,0,0,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0.3,0.1,0.3,0,0.1,0,0
Chuks Uzoka,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Smith,30,30,37.7,8.3,19.3,0.431,6.3,13.2,0.474,2.1,6.1,0.339,4.1,5,0.813,0.4,3.7,4.1,4.5,1.5,0,3,1.5,22.8
Ike Nweke,27,23,22.6,4,7.7,0.527,4,7.7,0.527,0,0,0,1.6,1.9,0.808,2.3,3,5.3,0.6,0.4,0.4,1.3,2.5,9.6
Jack Forrest,27,5,25.6,3.4,9,0.377,2,5,0.397,1.4,4,0.352,0.7,1.1,0.613,0.3,3,3.3,0.6,0.3,0.1,1.1,2.2,8.9
Jake Killingsworth,30,30,33.5,2.6,7.2,0.367,0.9,2,0.467,1.7,5.2,0.329,0.5,0.6,0.737,0.5,4.9,5.4,1.6,0.8,0.2,1.1,1.4,7.4
Tai Bibbs,30,30,26.8,2.1,6.1,0.348,1.3,3.1,0.435,0.8,3.1,0.261,1.4,2.1,0.656,0.4,3,3.4,0.8,0.9,0.2,0.8,1.8,6.5
Randy Brumant,29,29,24.9,2.4,5.6,0.436,2,3.9,0.518,0.4,1.8,0.255,1,1.6,0.644,1.4,4,5.5,1.2,0.7,1.1,1.2,2.6,6.3
Maka Ellis,6,0,27.3,2.5,8,0.313,1.7,4,0.417,0.8,4,0.208,0.2,0.3,0.5,0.5,2.7,3.2,0.8,0.2,0.2,1.2,1.3,6
Asa Shannon,4,0,5.3,0.8,1.3,0.6,0.5,0.5,1,0.3,0.8,0.333,0.5,0.5,1,0.5,0.8,1.3,0.3,0,0.3,0.8,1.3,2.3
Joseph Smoyer,30,2,10.2,0.8,1.9,0.429,0.8,1.8,0.453,0,0.1,0,0.6,0.8,0.68,0.7,1.4,2,0.6,0.1,0.9,0.7,1.3,2.2
Eddie Turner III,9,0,10.2,1,2.8,0.36,0.8,2,0.389,0.2,0.8,0.286,0,0,0,0.1,0.9,1,0.3,0.7,0.1,1.1,2,2.2
Cameron Shockley-Okeke,13,0,11,0.8,2.9,0.263,0.6,1.3,0.471,0.2,1.6,0.095,0.2,0.3,0.75,0.4,1.5,1.8,0.3,0.5,0.2,0.8,1,1.9
Luke Bolster,24,1,11.6,0.5,1.7,0.293,0.3,0.7,0.471,0.2,1,0.167,0.3,0.5,0.583,0,1,1,0.9,0.4,0,0.8,1.1,1.5
Emmanuel Onuama,13,0,6.2,0.4,0.8,0.455,0.4,0.8,0.455,0,0,0,0,0.2,0,0.2,1.3,1.5,0.2,0.1,0.1,0.5,1,0.8
Jake Klores,10,0,2.8,0.1,0.2,0.5,0.1,0.2,0.5,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.1,0,0.2
Ben Milstein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0